date,reported,genomic,,
6/1/20,384.3601127,4600.59229,8.35%,
6/2/20,395.1811783,4843.490552,8.16%,
6/3/20,406.0022439,5101.266267,7.96%,
6/4/20,417.6406388,5367.911403,7.78%,
6/5/20,429.8466545,5652.511995,7.60%,
6/6/20,442.0526703,5951.090493,7.43%,
6/7/20,454.258686,6259.722593,7.26%,
6/8/20,466.9082052,6592.800017,7.08%,
6/9/20,480.6761725,6938.235155,6.93%,
6/10/20,494.4441399,7298.386157,6.77%,
6/11/20,508.2121072,7684.322624,6.61%,
6/12/20,521.9800746,8083.434633,6.46%,
6/13/20,537.4703239,8504.036183,6.32%,
6/14/20,552.9997967,8949.619952,6.18%,
6/15/20,568.5292695,9410.048253,6.04%,
6/16/20,584.0587423,9900.397157,5.90%,
6/17/20,600.7974203,10413.96859,5.77%,
6/18/20,618.1275807,10944.21194,5.65%,
6/19/20,635.4577412,11514.71328,5.52%,
6/20/20,652.9953101,12105.48984,5.39%,
6/21/20,672.1368201,12720.31899,5.28%,
6/22/20,691.2783301,13377.10047,5.17%,
6/23/20,710.4198401,14053.4051,5.06%,
6/24/20,730.676473,14763.78716,4.95%,
6/25/20,751.8182544,15512.55004,4.85%,
6/26/20,772.9600359,16298.27732,4.74%,
6/27/20,794.1028479,17118.77417,4.64%,
6/28/20,817.4534248,17975.17958,4.55%,
6/29/20,840.8040017,18868.03995,4.46%,
6/30/20,864.1545786,19805.2747,4.36%,
7/1/20,888.5866956,20784.79183,4.28%,
7/2/20,914.3762093,21808.05521,4.19%,
7/3/20,940.1657229,22876.53216,4.11%,
7/4/20,965.9552366,23991.68746,4.03%,
7/5/20,994.1318317,25156.16589,3.95%,
7/6/20,1022.614267,26370.48304,3.88%,
7/7/20,1051.096702,27635.864,3.80%,
7/8/20,1080.558534,28953.68399,3.73%,
7/9/20,1112.014162,30325.27281,3.67%,
7/10/20,1143.469791,31751.90389,3.60%,
7/11/20,1174.92542,33234.78234,3.54%,
7/12/20,1208.916368,34770.87502,3.48%,
7/13/20,1243.654431,36370.53915,3.42%,
7/14/20,1278.392494,38030.1886,3.36%,
7/15/20,1313.910973,39748.70135,3.31%,
7/16/20,1352.272627,41526.69169,3.26%,
