date,reported,genomic
12/25/20,106292.2152,2927.977409
12/26/20,108821.1514,2800.17052
12/27/20,111372.5943,2677.809535
12/28/20,113984.8033,2558.964927
12/29/20,116639.0303,2448.058376
12/30/20,119331.7027,2340.427587
12/31/20,122089.2428,2237.127228
1/1/21,124869.5091,2139.758999
1/2/21,127723.6039,2045.101578
1/3/21,130607.2374,1955.549044
1/4/21,133541.828,1869.881074
1/5/21,136528.31,1786.656765
1/6/21,139542.9126,1709.056753
1/7/21,142631.227,1633.717816
1/8/21,145741.6322,1561.488449
1/9/21,148913.6716,1493.349309
1/10/21,152123.6015,1427.120709
1/11/21,155372.4508,1364.553459
1/12/21,158679.4917,1304.716472
1/13/21,162007.562,1246.61915
1/14/21,165404.5387,1192.396976
1/15/21,168825.3806,1139.374489
1/16/21,172292.9519,1089.519122
1/17/21,175802.5187,1041.487656
1/18/21,179337.8635,995.3069163
1/19/21,182931.3848,951.8217323
1/20/21,186542.4188,909.3201375
1/21/21,190203.2346,869.7007279
1/22/21,193890.4574,831.1980757
1/23/21,197608.1354,794.5029329
1/24/21,201364.8839,759.7086652
1/25/21,205136.14,725.8210066
1/26/21,208949.8518,694.1958884
1/27/21,212785.0886,663.012883
1/28/21,216640.1658,634.285872
1/29/21,220521.3148,605.9520941
1/30/21,224423.3029,579.5039257
1/31/21,228339.7261,553.7645317
2/1/21,232271.6707,529.4150705
2/2/21,236220.4248,506.037536
2/3/21,240177.4961,483.6207926
2/4/21,244142.1298,462.3930131
2/5/21,248114.7972,441.7560435
2/6/21,252089.4846,422.5421734
2/7/21,256064.841,403.6131893
2/8/21,260038.3248,386.0459129
2/9/21,264005.4246,368.7489514
2/10/21,267965.6973,352.6983004
2/11/21,271916.9854,336.8929747
2/12/21,275849.3565,322.2282947
2/13/21,279768.2122,307.7862406
2/14/21,283666.7168,294.3880815
2/15/21,287542.9941,281.1919309
2/16/21,291393.0325,268.9511035
2/17/21,295208.8736,256.8935623
2/18/21,298992.1906,245.7102598
2/19/21,302740.0475,234.6932424
2/20/21,306449.4966,224.5144405
2/21/21,310117.5814,214.4936909
2/22/21,313741.3397,205.0792727
2/23/21,317309.9027,196.0072652
2/24/21,320823.1978,187.3104992
2/25/21,324281.6152,179.097514
2/26/21,327682.2334,171.0669609
2/27/21,331022.0483,163.6317448
2/28/21,334298.7424,156.2192682
3/1/21,337504.65,149.4882307
3/2/21,340628.685,142.7571932
3/3/21,343679.4443,136.555336
3/4/21,346654.2886,130.4618449
3/5/21,349550.6291,124.7307018
3/6/21,352365.9299,119.2144181
3/7/21,355096.5755,113.9323796
3/8/21,357719.2418,108.9666205
3/9/21,360253.8382,104.0008614
3/10/21,362698.3232,99.54118447
3/11/21,365050.7351,95.0969575
3/12/21,367309.1729,90.89324793
